hcp_id,specialty,practice_type,region,base_sales,engagement_score,innovation_score,calls,treatment,sales
0,Endocrinology,Academic,Rural,109.08977695166627,0.7651696096585132,0.2827644352170794,1,0,100.88937629435998
1,Cardiology,Private,Semi-Urban,84.60421599568309,0.36970272200928533,0.3069816494932601,6,1,89.0952341966411
2,Endocrinology,Academic,Semi-Urban,68.49393442125694,0.16710316390861368,0.21928274773832757,7,1,58.68928836999271
3,Endocrinology,Private,Urban,91.85906913556909,0.011497972397297773,0.7923520627061558,2,0,84.0617916050651
4,Cardiology,Academic,Semi-Urban,122.18097271873414,0.6211344506719487,0.3322091739787588,3,1,131.74021501824237
5,Cardiology,Academic,Semi-Urban,117.08753930214421,0.4061238076312438,0.345484991265538,5,1,120.41114152863697
6,Endocrinology,Private,Rural,108.20806529850324,0.3147564928607691,0.4530068136934591,3,1,113.50969592863905
7,Neurology,Academic,Semi-Urban,96.58239177067777,0.9855022916368356,0.9022952887404225,3,1,105.62528675029522
8,Endocrinology,Hospital,Rural,89.66506475878765,0.46614213556031514,0.688173032026683,2,0,99.32723167446314
9,Endocrinology,Private,Semi-Urban,96.9534319109128,0.7498392836454242,0.0617497041677777,1,0,102.98971924446265
10,Endocrinology,Hospital,Semi-Urban,115.63543328604243,0.17741241725123624,0.03926192103657411,2,0,124.07363711213713
11,Endocrinology,Private,Semi-Urban,120.20381224471522,0.013455257741813775,0.5663892295770254,4,1,120.37576560225641
12,Cardiology,Academic,Urban,94.76426470155464,0.417562619448016,0.8870605617272078,1,0,94.15781424130182
13,Endocrinology,Academic,Rural,150.72462619055187,0.6656648349426617,0.3232514760005911,0,0,143.51299196723522
14,Neurology,Academic,Urban,101.84807551554113,0.5065986961834594,0.24777182890216842,1,0,106.56247607870522
15,Cardiology,Private,Semi-Urban,93.06089100130197,0.890466257624391,0.7481910453130791,4,1,103.10683473501572
16,Neurology,Hospital,Urban,129.513388772191,0.4339793511871648,0.6020913664698274,4,1,128.25020655155708
17,Neurology,Hospital,Rural,59.23406940475449,0.3110028131530912,0.5650273423568051,1,0,56.40404472216404
18,Neurology,Private,Semi-Urban,109.60067389130711,0.9160486762076435,0.14930119914354112,2,0,111.80839661370933
19,Neurology,Private,Urban,98.54403214733406,0.4068022786343809,0.17596131866098563,7,1,97.53309007562704
20,Cardiology,Hospital,Urban,128.96368639742718,0.26964786163961163,0.28178777592402426,3,1,125.69812048959625
21,Cardiology,Hospital,Rural,112.09846717300384,0.0976610768100804,0.20683893468193693,2,0,110.13182466538795
22,Neurology,Hospital,Urban,102.78204339683317,0.7933097732158209,0.9714447450464361,1,0,100.75332799715635
23,Neurology,Hospital,Rural,113.25267595093098,0.8250914607978431,0.01861101635615736,3,1,117.81291839732805
24,Cardiology,Private,Semi-Urban,78.88835375758495,0.03329778356517199,0.6260563384293241,3,1,80.9836908409734
25,Cardiology,Private,Semi-Urban,119.33639668957719,0.35864559840152477,0.5175988248754383,3,1,108.61287317951478
26,Cardiology,Academic,Urban,73.10828485973057,0.7498764545979597,0.3232512358984363,5,1,74.52008241224442
27,Endocrinology,Hospital,Semi-Urban,107.16994761628729,0.9463818474880539,0.8875887121039754,3,1,110.93744432558567
28,Endocrinology,Academic,Semi-Urban,100.7122868217205,0.377818283844905,0.6701625775392822,4,1,108.53950587978333
29,Endocrinology,Private,Urban,64.7389084725715,0.8720534313794935,0.9983543513232265,2,0,65.54643506391419
30,Neurology,Private,Semi-Urban,101.37884116192099,0.3937204065321951,0.16865595932648536,5,1,99.91661636978512
31,Endocrinology,Academic,Urban,105.63973503412596,0.17949462724264809,0.08786783586782876,4,1,101.32811827515123
32,Neurology,Hospital,Rural,86.90248052084418,0.0034461437768696923,0.13939726746634395,3,1,88.46871914447009
33,Neurology,Hospital,Rural,79.75156002314785,0.3301810231528798,0.26929096758459625,2,0,79.55519189494316
34,Endocrinology,Hospital,Rural,109.84354806856794,0.37847505072737153,0.41678699156795607,1,0,108.18122767592024
